District,Season,Soil_Type,Soil_N_kg_ha,Soil_P_kg_ha,Soil_K_kg_ha,Soil_pH,Organic_Carbon_pct,Avg_Temperature_C,Rainfall_mm,Humidity_pct,Primary_Crop
Prakasam,Zaid,Red,229.6,124.5,166.8,6.3,0.86,24.5,978.9,75.1,Oil Palm
Nellore,Zaid,Laterite,87.8,56.0,69.5,6.8,0.33,20.4,658.8,58.1,Green Gram
Guntur,Rabi,Black,229.5,125.2,166.5,6.0,1.19,30.6,434.5,59.3,Oil Palm
Bapatla,Kharif,Alluvial,61.7,38.4,48.3,8.4,0.39,30.1,572.8,71.2,Finger Millet
Guntur,Zaid,Red,37.5,29.7,33.9,5.7,0.97,21.4,255.1,78.4,Sorghum
Sri Satya Sai,Kharif,Alluvial,117.5,68.0,90.2,8.4,0.35,29.9,845.9,52.7,Sesame
West Godavari,Kharif,Red,91.3,57.0,68.5,6.8,0.64,31.9,932.1,71.3,Green Gram
Palnadu,Kharif,Laterite,229.5,125.2,166.0,6.2,1.05,26.8,309.1,76.1,Oil Palm
Bapatla,Rabi,Red,150.2,85.2,113.1,6.3,1.09,27.5,789.3,81.8,Cotton
Anantapur,Rabi,Red,19.3,20.1,19.4,5.6,1.2,32.4,142.4,43.9,Castor
Tirupati,Rabi,Black,170.1,94.8,123.8,6.9,1.02,26.2,357.5,50.3,Tobacco
Guntur,Rabi,Black,110.0,66.6,84.1,7.0,0.89,31.8,51.1,78.6,Groundnut
Annamayya,Kharif,Black,109.9,65.3,82.7,7.5,0.92,28.5,183.2,51.8,Groundnut
Guntur,Rabi,Laterite,259.4,140.9,188.4,7.2,0.75,26.6,482.3,89.0,Vegetables
Bapatla,Rabi,Red,59.0,39.9,48.0,5.6,0.92,28.4,194.6,44.2,Finger Millet
Anantapur,Zaid,Laterite,39.9,30.5,34.1,6.9,0.39,23.0,379.7,86.4,Sorghum
Konaseema,Zaid,Alluvial,130.9,75.5,96.4,7.4,1.14,30.5,447.8,56.4,Sunflower
Eluru,Rabi,Red,150.4,85.6,110.6,6.6,0.53,31.9,395.4,41.0,Cotton
Nandyal,Zaid,Coastal Sands,249.8,137.9,181.0,8.3,0.45,31.0,240.5,69.3,Coconut
Kadapa,Rabi,Black,199.8,110.0,144.9,6.1,0.76,26.5,89.2,74.4,Banana
Anantapur,Rabi,Red,101.3,59.8,76.0,5.6,0.41,22.7,415.2,45.1,Black Gram
Prakasam,Zaid,Black,32.1,23.9,26.3,7.1,1.01,27.2,194.5,74.1,Maize
Parvathipuram Manyam,Rabi,Coastal Sands,201.1,111.0,146.9,5.8,0.62,31.0,391.9,87.3,Banana
Nandyal,Rabi,Coastal Sands,48.9,34.4,41.3,6.0,0.77,24.1,252.5,69.4,Pearl Millet
Nandyal,Kharif,Red,70.2,46.4,54.3,5.8,0.53,28.6,727.2,45.2,Bengal Gram
Tirupati,Kharif,Red,230.3,125.8,167.6,6.5,0.77,32.3,323.3,77.9,Oil Palm
Kadapa,Kharif,Red,239.8,129.4,174.7,6.8,0.38,28.6,622.4,77.1,Cashew
Annamayya,Zaid,Black,151.6,84.8,110.5,8.0,1.02,26.3,588.1,51.7,Cotton
Visakhapatnam,Rabi,Red,20.4,19.8,20.5,8.0,0.81,30.3,51.8,41.8,Paddy
West Godavari,Zaid,Coastal Sands,128.0,74.3,96.3,5.7,1.03,22.0,1030.1,63.4,Sunflower
Alluri Sitharama Raju,Rabi,Laterite,221.3,119.7,160.1,7.3,0.93,20.7,415.5,48.5,Papaya
Nellore,Kharif,Red,71.1,44.2,56.0,8.3,0.66,22.5,485.2,42.4,Bengal Gram
Chittoor,Rabi,Red,90.5,54.4,70.4,5.7,0.59,22.9,446.2,88.0,Green Gram
Annamayya,Zaid,Red,179.4,100.2,132.0,7.6,1.11,29.6,93.3,52.7,Chillies
Alluri Sitharama Raju,Rabi,Red,49.9,34.0,42.0,7.6,0.35,26.2,443.2,58.5,Pearl Millet
Guntur,Zaid,Laterite,170.2,95.0,123.7,5.9,0.53,21.3,114.0,44.9,Tobacco
Tirupati,Zaid,Black,99.6,59.7,75.5,6.4,1.05,25.5,135.4,76.3,Black Gram
Eluru,Rabi,Coastal Sands,28.6,26.3,25.3,6.3,0.81,31.2,75.9,78.0,Maize
Palnadu,Zaid,Laterite,99.4,59.9,76.6,7.7,1.12,25.7,194.7,48.9,Black Gram
Sri Satya Sai,Kharif,Black,167.9,95.0,123.9,5.8,0.49,30.0,546.9,54.2,Tobacco
West Godavari,Rabi,Alluvial,209.1,115.3,152.6,6.0,0.31,34.0,1022.1,46.5,Mango
Krishna,Rabi,Alluvial,31.3,26.1,27.7,8.2,0.7,23.2,65.6,75.6,Maize
Kadapa,Rabi,Black,240.5,128.7,174.8,7.5,0.62,32.3,1149.8,48.6,Cashew
Anakapalli,Rabi,Coastal Sands,149.2,84.9,111.4,6.0,0.72,21.6,239.6,44.2,Cotton
East Godavari,Kharif,Red,170.5,96.4,125.4,6.7,0.99,20.8,72.1,47.7,Tobacco
Anantapur,Zaid,Red,119.6,70.5,90.9,6.3,1.04,27.2,764.8,44.9,Sesame
Palnadu,Kharif,Black,99.8,61.1,77.2,8.3,0.95,22.0,736.3,72.9,Black Gram
Nellore,Zaid,Coastal Sands,39.5,31.0,33.1,7.2,0.47,27.7,957.5,61.1,Sorghum
Konaseema,Kharif,Red,129.9,75.1,97.6,6.9,0.76,20.3,476.2,59.8,Sunflower
Krishna,Zaid,Coastal Sands,101.7,62.3,75.2,6.4,0.77,25.3,1021.6,86.8,Black Gram
Nandyal,Rabi,Black,49.4,33.8,41.0,8.4,0.37,21.7,841.1,58.9,Pearl Millet
Kadapa,Zaid,Black,140.5,79.4,104.2,5.9,0.44,23.7,80.8,72.3,Castor
Chittoor,Kharif,Laterite,98.9,60.0,75.8,7.8,0.74,32.6,904.8,62.8,Black Gram
Kakinada,Kharif,Red,138.6,80.2,103.3,7.4,0.59,31.3,199.3,41.0,Castor
Visakhapatnam,Zaid,Laterite,251.0,136.0,182.1,7.9,0.68,29.3,217.1,59.7,Coconut
Prakasam,Kharif,Laterite,208.0,115.0,152.8,8.4,1.0,20.6,1037.1,84.6,Mango
East Godavari,Zaid,Coastal Sands,199.5,112.0,144.7,7.4,0.61,30.6,1169.7,56.3,Banana
Nandyal,Zaid,Coastal Sands,80.8,50.0,62.6,5.8,0.44,22.6,891.1,89.0,Red Gram
Palnadu,Rabi,Coastal Sands,89.7,54.2,69.8,7.6,0.51,24.5,549.6,74.5,Green Gram
Annamayya,Zaid,Laterite,111.4,65.9,82.1,6.6,0.6,25.5,1034.3,81.5,Groundnut
NTR,Kharif,Red,39.4,28.0,33.7,8.5,0.58,34.3,564.1,58.4,Sorghum
Srikakulam,Kharif,Red,189.9,105.0,139.9,6.7,1.0,25.2,954.0,83.3,Turmeric
Tirupati,Zaid,Black,168.8,94.8,124.2,8.2,0.65,22.7,447.5,79.7,Tobacco
Anakapalli,Rabi,Red,230.0,124.6,167.4,7.3,0.49,33.8,1005.8,63.6,Oil Palm
Palnadu,Zaid,Alluvial,149.3,86.3,111.5,6.9,0.92,21.8,1053.4,89.7,Cotton
Prakasam,Rabi,Laterite,29.5,22.7,27.7,8.1,0.83,20.1,284.5,59.7,Maize
Krishna,Rabi,Alluvial,110.0,65.8,84.4,7.9,0.32,23.3,362.2,54.9,Groundnut
Prakasam,Zaid,Black,140.3,81.1,103.1,7.1,0.9,34.3,300.4,47.2,Castor
Anakapalli,Zaid,Alluvial,39.3,29.5,33.4,5.7,0.5,29.6,261.6,84.5,Sorghum
Konaseema,Zaid,Coastal Sands,188.5,104.6,140.3,6.8,0.92,31.7,857.2,46.5,Turmeric
Bapatla,Zaid,Black,89.5,54.7,67.6,6.0,0.95,22.5,469.9,73.2,Green Gram
Vizianagaram,Rabi,Coastal Sands,69.1,46.2,54.6,5.8,0.42,34.6,347.1,73.1,Bengal Gram
Nellore,Rabi,Alluvial,61.6,38.3,48.5,8.1,0.93,28.3,1153.9,41.8,Finger Millet
Srikakulam,Zaid,Alluvial,91.3,54.2,68.8,7.6,0.44,24.9,463.2,83.6,Green Gram
NTR,Zaid,Red,159.5,89.7,118.3,6.3,1.09,27.2,1023.1,43.3,Sugarcane
Visakhapatnam,Zaid,Red,219.5,120.4,159.3,6.5,1.05,21.1,187.3,52.0,Papaya
West Godavari,Kharif,Laterite,30.2,25.0,26.2,8.1,0.94,23.9,59.4,46.5,Maize
Guntur,Rabi,Black,220.6,121.3,160.8,6.7,0.75,26.7,785.8,74.9,Papaya
Kakinada,Zaid,Red,79.1,49.7,63.3,7.6,1.15,29.0,135.8,52.9,Red Gram
Kurnool,Zaid,Red,260.7,140.2,188.5,6.4,0.99,28.1,745.7,51.9,Vegetables
Palnadu,Zaid,Black,61.5,37.7,46.6,6.6,1.1,26.2,927.0,50.9,Finger Millet
Guntur,Zaid,Red,41.1,29.1,33.1,5.9,1.09,28.2,93.0,46.3,Sorghum
Krishna,Zaid,Black,252.4,136.0,181.9,8.4,0.36,33.3,187.2,81.6,Coconut
Chittoor,Kharif,Coastal Sands,251.8,136.3,178.9,7.3,0.46,22.6,1114.8,50.2,Coconut
Guntur,Zaid,Coastal Sands,130.5,75.7,97.7,6.4,0.95,21.6,374.8,57.6,Sunflower
Parvathipuram Manyam,Zaid,Black,41.6,31.6,34.9,5.6,1.09,22.1,596.7,78.5,Sorghum
Anakapalli,Rabi,Black,21.4,18.2,21.1,7.5,1.0,29.1,936.2,41.6,Paddy
Anantapur,Kharif,Laterite,60.7,40.5,47.2,6.8,0.56,30.9,121.1,48.5,Finger Millet
Palnadu,Kharif,Black,237.3,129.3,173.6,6.6,0.78,30.9,861.6,63.3,Cashew
Tirupati,Kharif,Red,60.9,38.0,49.4,7.8,0.73,24.2,226.3,60.7,Finger Millet
Chittoor,Zaid,Coastal Sands,119.6,68.8,90.1,6.8,0.83,24.3,552.1,85.0,Sesame
Palnadu,Kharif,Alluvial,171.0,95.0,124.1,7.8,0.55,21.2,582.7,59.0,Tobacco
NTR,Rabi,Black,160.3,89.3,117.5,8.3,0.49,27.3,113.7,44.9,Sugarcane
Parvathipuram Manyam,Zaid,Laterite,190.0,104.3,138.9,8.0,0.58,26.1,537.1,49.0,Turmeric
Anakapalli,Kharif,Black,29.6,23.7,27.6,8.2,0.8,30.2,783.9,76.3,Maize
Guntur,Kharif,Laterite,198.8,108.2,145.2,6.4,0.52,26.9,534.4,73.4,Banana
Tirupati,Zaid,Black,28.2,25.2,28.1,7.3,0.74,33.7,1177.3,63.9,Maize
Nellore,Kharif,Alluvial,20.0,19.9,21.3,5.9,0.63,32.3,871.3,77.1,Paddy
Alluri Sitharama Raju,Rabi,Black,260.8,139.4,187.2,8.4,0.53,31.0,571.2,49.5,Vegetables
Tirupati,Rabi,Alluvial,208.8,115.3,155.2,7.7,0.75,20.0,677.2,41.8,Mango
Prakasam,Kharif,Laterite,219.5,120.3,158.7,6.7,0.84,21.5,943.6,83.9,Papaya
Nellore,Rabi,Black,119.2,68.9,91.0,7.3,0.3,31.5,721.1,60.3,Sesame
Sri Satya Sai,Rabi,Coastal Sands,79.7,49.7,61.5,6.5,0.65,24.5,58.8,59.2,Red Gram
Konaseema,Rabi,Laterite,19.2,18.8,20.8,8.5,0.61,33.8,95.7,65.1,Paddy
Sri Satya Sai,Zaid,Red,18.6,20.7,19.6,6.8,0.35,32.8,970.3,66.1,Paddy
Palnadu,Rabi,Alluvial,120.0,68.9,87.2,6.9,0.62,21.9,682.0,72.9,Sesame
Tirupati,Kharif,Alluvial,239.7,129.0,172.5,7.3,0.97,23.4,913.0,56.5,Cashew
Bapatla,Kharif,Alluvial,238.8,128.9,172.6,8.1,0.76,34.6,1073.7,74.5,Cashew
Anakapalli,Rabi,Laterite,240.7,130.4,176.8,5.8,0.46,31.2,533.3,46.5,Cashew
Sri Satya Sai,Kharif,Red,209.4,115.3,154.0,5.5,0.88,21.7,644.1,66.7,Mango
Prakasam,Rabi,Red,229.9,123.5,169.9,7.9,0.72,24.8,333.2,43.9,Oil Palm
Srikakulam,Zaid,Coastal Sands,169.2,96.0,124.0,7.8,0.85,24.4,942.7,87.1,Tobacco
Annamayya,Rabi,Red,28.7,27.3,28.3,7.5,0.86,34.2,889.7,89.0,Maize
Vizianagaram,Zaid,Black,210.0,115.5,152.7,6.0,0.44,33.2,688.8,82.0,Mango
Nandyal,Kharif,Red,239.4,129.4,175.0,7.6,0.72,21.0,446.2,59.8,Cashew
East Godavari,Rabi,Alluvial,180.4,101.0,131.3,6.3,0.86,24.2,937.4,50.7,Chillies
Annamayya,Zaid,Laterite,190.7,105.6,138.0,6.8,0.88,23.0,567.9,43.5,Turmeric
Guntur,Kharif,Laterite,140.9,80.9,105.0,5.9,0.83,30.7,567.5,47.9,Castor
Nandyal,Rabi,Black,158.5,90.6,118.5,7.2,0.48,21.8,810.7,55.1,Sugarcane
Palnadu,Zaid,Laterite,228.9,125.6,166.6,7.8,0.57,25.3,612.6,64.4,Oil Palm
Krishna,Rabi,Black,190.3,103.8,140.6,6.5,0.63,29.3,586.1,43.1,Turmeric
Sri Satya Sai,Kharif,Coastal Sands,29.1,24.2,26.4,7.8,0.75,24.6,50.8,43.4,Maize
Vizianagaram,Kharif,Coastal Sands,150.0,85.9,111.2,6.7,0.31,26.9,409.0,44.4,Cotton
Guntur,Rabi,Coastal Sands,91.7,55.0,70.2,7.8,1.05,20.8,986.4,74.1,Green Gram
Kakinada,Rabi,Laterite,71.4,44.6,56.9,7.1,0.96,30.2,909.3,44.0,Bengal Gram
Eluru,Zaid,Alluvial,259.4,139.4,188.2,6.5,0.82,32.3,368.2,50.9,Vegetables
Anantapur,Zaid,Alluvial,151.2,85.2,109.8,8.5,0.44,27.8,447.7,74.8,Cotton
Konaseema,Kharif,Black,162.6,89.9,117.0,6.1,0.99,34.6,262.2,62.1,Sugarcane
Alluri Sitharama Raju,Rabi,Alluvial,120.4,70.3,90.6,5.5,0.94,22.8,847.0,56.6,Sesame
Chittoor,Zaid,Coastal Sands,70.4,45.4,55.0,5.5,1.02,30.4,742.4,75.0,Bengal Gram
NTR,Zaid,Alluvial,191.1,104.5,140.5,7.8,0.45,32.3,437.6,63.4,Turmeric
Visakhapatnam,Kharif,Red,219.2,120.0,158.6,8.1,1.17,33.0,1037.4,50.2,Papaya
Annamayya,Rabi,Red,51.3,34.1,41.1,7.4,1.07,28.4,391.6,41.2,Pearl Millet
Parvathipuram Manyam,Rabi,Red,89.0,55.0,69.3,8.5,0.69,30.5,388.2,77.1,Green Gram
Visakhapatnam,Zaid,Laterite,139.8,79.5,102.3,8.3,0.81,20.3,304.2,71.7,Castor
Kakinada,Zaid,Coastal Sands,250.6,135.4,181.8,7.5,0.51,30.6,936.9,40.1,Coconut
Vizianagaram,Zaid,Red,239.7,130.7,173.8,7.1,0.91,33.7,1191.6,71.0,Cashew
Chittoor,Zaid,Laterite,138.1,78.8,103.9,8.5,0.45,26.1,795.0,61.7,Sorghum
Krishna,Rabi,Red,160.0,89.8,118.6,7.1,0.98,33.5,332.4,73.2,Sugarcane
West Godavari,Kharif,Red,90.6,54.8,71.5,8.5,0.82,23.4,107.9,60.3,Green Gram
Krishna,Rabi,Black,189.8,104.3,137.2,5.9,0.81,25.0,312.0,55.7,Turmeric
Sri Satya Sai,Rabi,Red,20.1,20.3,19.2,6.1,0.31,24.5,463.5,89.6,Paddy
West Godavari,Zaid,Alluvial,192.1,104.4,139.1,8.5,0.72,26.8,512.5,55.9,Turmeric
Prakasam,Zaid,Laterite,60.2,39.3,48.3,7.2,0.45,22.7,1017.2,47.1,Finger Millet
Tirupati,Rabi,Black,138.2,79.4,104.0,7.3,1.05,23.0,1093.7,79.1,Castor
Alluri Sitharama Raju,Rabi,Red,231.6,127.0,166.3,7.9,0.82,30.8,717.8,84.6,Oil Palm
Chittoor,Rabi,Laterite,69.5,46.8,55.8,7.2,0.61,21.1,646.3,58.0,Bengal Gram
Krishna,Zaid,Coastal Sands,169.1,95.6,125.6,8.3,1.1,26.2,754.0,73.6,Tobacco
East Godavari,Kharif,Coastal Sands,160.5,90.3,116.3,7.3,0.82,20.7,929.2,81.5,Sugarcane
Tirupati,Kharif,Alluvial,70.0,46.3,52.4,7.2,0.59,28.8,550.2,44.2,Bengal Gram
Nellore,Rabi,Red,211.1,114.9,152.7,5.5,0.9,27.5,185.1,41.9,Mango
East Godavari,Kharif,Alluvial,221.4,121.2,163.2,8.5,0.48,26.1,387.7,78.4,Papaya
Chittoor,Zaid,Laterite,210.7,113.0,154.2,6.5,0.91,32.0,462.7,48.2,Mango
Alluri Sitharama Raju,Kharif,Black,189.4,103.8,139.3,6.5,0.87,34.3,697.4,70.4,Turmeric
Parvathipuram Manyam,Zaid,Red,48.9,36.0,41.1,6.3,1.06,24.3,939.7,40.9,Pearl Millet
Prakasam,Rabi,Black,100.2,61.4,75.4,8.0,0.67,20.0,385.1,63.1,Black Gram
Srikakulam,Rabi,Red,178.8,98.8,131.7,7.1,0.46,34.6,591.4,79.5,Chillies
Anakapalli,Zaid,Black,60.2,39.1,49.1,8.4,1.18,21.5,896.0,60.6,Finger Millet
NTR,Kharif,Black,161.5,91.3,117.7,6.6,1.03,33.5,710.6,43.8,Sugarcane
Guntur,Rabi,Laterite,190.2,103.8,140.3,8.1,1.12,28.7,197.4,71.6,Turmeric
Tirupati,Kharif,Red,150.6,85.3,110.2,8.5,0.36,27.7,483.3,41.4,Cotton
East Godavari,Kharif,Coastal Sands,200.2,110.4,145.6,5.9,0.63,20.7,536.0,53.5,Banana
Sri Satya Sai,Kharif,Coastal Sands,228.9,124.3,166.1,5.9,0.83,30.2,394.6,69.1,Oil Palm
Guntur,Rabi,Coastal Sands,49.1,37.3,41.3,6.7,1.14,34.9,923.8,80.1,Pearl Millet
Srikakulam,Zaid,Coastal Sands,91.6,54.5,66.4,8.4,0.32,30.5,299.2,79.4,Green Gram
West Godavari,Kharif,Alluvial,170.9,94.6,125.0,7.7,0.62,27.8,1021.6,73.2,Tobacco
Chittoor,Kharif,Red,138.5,79.4,105.4,6.3,0.99,33.8,982.3,41.7,Castor
Tirupati,Rabi,Coastal Sands,130.4,73.2,97.6,8.3,0.39,20.7,244.8,62.7,Sunflower
Eluru,Zaid,Black,189.5,104.3,138.6,7.1,0.41,21.2,538.8,85.3,Turmeric
Palnadu,Zaid,Black,239.7,129.4,173.9,7.8,0.38,23.4,493.1,81.4,Cashew
Kadapa,Zaid,Alluvial,210.3,112.7,152.9,8.4,0.47,24.5,1084.8,77.4,Mango
West Godavari,Rabi,Alluvial,200.9,111.4,146.3,7.8,1.2,25.2,1185.2,82.7,Banana
Bapatla,Zaid,Coastal Sands,59.9,41.2,47.3,8.0,0.31,21.7,945.8,61.1,Finger Millet
Konaseema,Kharif,Alluvial,50.6,35.6,41.2,6.5,0.66,34.0,1082.8,65.0,Pearl Millet
Kadapa,Zaid,Red,49.8,34.4,41.9,6.3,0.64,26.7,965.4,82.5,Pearl Millet
NTR,Zaid,Coastal Sands,40.2,30.9,35.1,8.1,0.38,26.6,513.3,77.6,Sorghum
Palnadu,Zaid,Laterite,200.2,111.0,144.2,8.1,0.72,25.8,745.3,70.3,Banana
Bapatla,Zaid,Black,17.6,19.1,18.9,6.3,0.3,33.2,896.9,79.5,Paddy
West Godavari,Kharif,Black,260.9,140.3,187.7,7.4,0.42,29.6,1075.3,49.9,Vegetables
Alluri Sitharama Raju,Rabi,Black,131.0,73.7,97.2,6.6,1.05,30.7,187.0,85.9,Sunflower
Kakinada,Zaid,Coastal Sands,29.2,24.8,26.4,8.4,0.96,24.4,1126.0,47.2,Maize
Anantapur,Kharif,Red,49.0,33.7,41.9,6.5,0.96,24.2,846.1,46.0,Pearl Millet
Palnadu,Kharif,Laterite,130.2,75.8,96.8,8.3,0.87,33.1,363.3,72.2,Sunflower
Sri Satya Sai,Kharif,Black,191.0,103.8,139.3,5.9,0.61,26.5,668.1,77.4,Turmeric
Annamayya,Rabi,Coastal Sands,99.9,59.8,77.3,5.7,0.96,34.5,807.9,87.0,Black Gram
Palnadu,Rabi,Alluvial,251.2,136.6,181.0,6.6,1.15,21.6,564.2,65.3,Coconut
Nellore,Kharif,Laterite,188.7,105.5,139.0,7.7,0.52,25.8,1030.9,40.3,Turmeric
Alluri Sitharama Raju,Zaid,Alluvial,19.0,19.4,20.3,7.0,0.61,25.1,361.2,82.1,Paddy
Prakasam,Zaid,Red,220.1,120.9,157.6,7.2,0.98,30.4,531.5,79.9,Papaya
Visakhapatnam,Rabi,Alluvial,122.3,70.1,89.8,8.1,0.74,29.6,869.9,79.6,Sesame
West Godavari,Rabi,Black,209.5,113.7,154.3,6.4,1.09,25.9,351.2,69.8,Mango
Kadapa,Zaid,Laterite,70.3,45.2,54.5,8.5,0.97,21.0,1090.9,72.3,Bengal Gram
Parvathipuram Manyam,Rabi,Laterite,28.0,24.5,25.2,5.6,0.59,22.0,410.3,61.1,Maize
Guntur,Zaid,Alluvial,200.9,108.5,146.3,6.6,1.14,26.1,1088.2,72.2,Banana
Prakasam,Kharif,Coastal Sands,100.2,59.4,75.0,8.0,0.88,25.9,173.3,62.3,Black Gram
Sri Satya Sai,Rabi,Laterite,150.7,84.8,112.2,7.1,0.65,25.1,264.2,76.6,Cotton
Kurnool,Zaid,Black,220.3,120.1,158.3,8.0,0.31,33.5,382.0,70.6,Papaya
Nellore,Zaid,Black,140.9,79.2,106.1,6.5,0.82,29.0,911.1,70.6,Castor
NTR,Zaid,Red,38.6,28.9,34.2,8.4,0.69,34.4,759.6,56.7,Sorghum
Anakapalli,Rabi,Alluvial,260.6,139.5,187.9,5.7,0.82,24.3,623.3,48.2,Vegetables
Kakinada,Kharif,Coastal Sands,69.0,45.6,54.5,8.5,0.91,25.1,178.0,41.5,Bengal Gram
Kadapa,Zaid,Coastal Sands,161.7,90.6,117.7,8.5,0.83,30.6,820.7,50.7,Sugarcane
Vizianagaram,Zaid,Black,209.2,116.3,152.7,6.8,0.31,29.2,187.4,56.8,Mango
Konaseema,Kharif,Laterite,41.0,30.1,34.2,7.5,0.69,26.0,605.2,49.6,Sorghum
Guntur,Kharif,Laterite,79.0,48.9,62.2,8.4,0.8,22.2,521.9,70.7,Red Gram
Vizianagaram,Kharif,Black,69.6,45.0,56.1,8.3,0.95,27.7,107.1,80.4,Bengal Gram
Kadapa,Zaid,Laterite,31.4,26.4,26.9,6.7,0.33,21.1,685.6,41.4,Maize
Nellore,Kharif,Coastal Sands,21.4,20.6,18.8,6.7,0.79,34.1,467.7,53.5,Paddy
Konaseema,Rabi,Alluvial,60.7,40.9,49.5,5.9,1.15,31.3,1084.7,59.7,Finger Millet
Nellore,Kharif,Black,90.3,55.9,70.0,7.3,1.14,21.9,890.0,63.3,Green Gram
Vizianagaram,Rabi,Laterite,68.8,47.3,54.9,7.8,0.42,21.2,827.8,86.1,Bengal Gram
Konaseema,Kharif,Black,42.6,29.6,34.5,7.1,0.49,34.2,884.0,55.8,Sorghum
Kurnool,Zaid,Black,121.6,70.1,90.2,5.9,0.74,24.4,942.4,40.7,Sesame
Anantapur,Rabi,Alluvial,150.0,86.8,111.8,8.4,0.56,29.8,661.2,55.3,Cotton
Kadapa,Kharif,Red,210.8,113.7,153.1,7.1,0.9,21.4,338.7,88.7,Mango
Eluru,Kharif,Coastal Sands,147.9,85.2,111.5,7.2,0.83,21.5,694.7,89.3,Cotton
Srikakulam,Kharif,Coastal Sands,79.4,49.7,61.2,6.8,0.43,32.3,694.1,58.0,Red Gram
Nandyal,Kharif,Red,250.0,134.8,179.7,6.3,1.09,32.0,982.0,53.0,Coconut
Srikakulam,Kharif,Coastal Sands,168.3,95.0,126.4,7.4,0.99,23.3,1008.8,74.1,Tobacco
Kurnool,Zaid,Alluvial,149.3,86.9,110.2,7.0,0.91,20.5,641.7,40.4,Cotton
Krishna,Zaid,Coastal Sands,219.5,121.2,159.7,7.4,1.16,20.8,1023.8,40.6,Papaya
Tirupati,Kharif,Alluvial,61.6,40.5,48.5,6.5,0.3,27.0,1036.7,70.3,Finger Millet
Tirupati,Zaid,Black,221.4,121.0,159.5,6.0,0.58,20.1,192.9,66.6,Papaya
Sri Satya Sai,Zaid,Red,210.3,113.9,153.4,5.7,0.58,23.8,1073.9,61.2,Mango
Alluri Sitharama Raju,Zaid,Coastal Sands,249.1,136.2,181.6,6.4,0.3,22.7,519.9,74.5,Coconut
Tirupati,Zaid,Alluvial,198.4,108.2,146.3,6.0,0.83,23.0,1124.0,42.0,Banana
NTR,Rabi,Alluvial,130.0,74.1,96.7,6.7,1.05,32.8,235.2,63.9,Sunflower
East Godavari,Rabi,Alluvial,190.0,103.5,138.9,5.8,0.64,33.2,1169.4,50.0,Turmeric
Bapatla,Kharif,Black,99.3,60.3,75.6,6.2,0.31,25.9,468.7,58.1,Black Gram
Nandyal,Rabi,Laterite,228.5,125.4,167.1,6.6,0.39,25.1,834.6,72.5,Oil Palm
Srikakulam,Kharif,Laterite,180.4,99.9,133.1,7.7,0.39,25.8,873.9,62.7,Chillies
NTR,Zaid,Coastal Sands,146.6,87.6,111.2,5.9,0.54,31.1,336.7,86.2,Cotton
West Godavari,Zaid,Laterite,179.3,98.5,134.1,8.2,0.65,23.2,266.8,60.3,Chillies
Kadapa,Kharif,Black,161.2,90.4,119.4,6.5,0.78,21.9,288.9,76.1,Sugarcane
Sri Satya Sai,Zaid,Alluvial,89.9,54.0,68.9,8.4,1.04,30.0,830.2,88.1,Green Gram
Annamayya,Zaid,Coastal Sands,70.7,44.1,52.3,8.0,0.67,31.8,286.5,80.9,Bengal Gram
Nandyal,Rabi,Coastal Sands,240.7,130.1,172.5,6.2,0.84,21.4,689.2,75.6,Cashew
Anakapalli,Zaid,Laterite,130.5,73.5,96.4,7.2,0.91,24.0,110.6,64.4,Sunflower
Chittoor,Rabi,Black,260.7,141.1,188.7,8.4,0.54,20.3,120.3,75.0,Vegetables
Chittoor,Rabi,Black,59.4,40.1,48.6,6.4,1.16,34.4,715.4,78.4,Finger Millet
Sri Satya Sai,Zaid,Black,219.1,121.7,160.1,8.2,0.37,24.2,655.0,82.2,Papaya
Nellore,Kharif,Coastal Sands,170.5,93.9,125.3,6.9,1.12,21.7,160.7,88.5,Tobacco
Nellore,Rabi,Red,139.8,79.6,103.4,5.7,0.49,27.5,117.7,75.6,Castor
Chittoor,Kharif,Coastal Sands,79.1,48.3,63.3,6.5,1.1,30.9,227.1,85.5,Red Gram
Annamayya,Zaid,Red,71.0,43.7,55.5,6.4,0.32,22.3,864.5,51.4,Bengal Gram
Visakhapatnam,Kharif,Coastal Sands,201.3,110.6,146.8,6.9,0.36,23.9,574.7,59.5,Banana
Sri Satya Sai,Kharif,Black,89.4,56.1,68.6,6.9,0.6,23.0,100.1,46.7,Green Gram
Alluri Sitharama Raju,Zaid,Alluvial,180.7,99.9,131.8,7.6,0.99,34.4,800.5,45.5,Chillies
Tirupati,Rabi,Laterite,79.4,49.8,62.3,8.5,1.14,25.1,738.8,80.5,Red Gram
Krishna,Kharif,Coastal Sands,149.4,85.9,110.9,5.6,0.6,31.5,167.2,86.9,Sesame
Parvathipuram Manyam,Zaid,Laterite,129.6,75.3,96.4,8.3,0.46,28.5,590.0,70.7,Sunflower
Palnadu,Rabi,Black,148.8,83.8,110.8,7.8,0.47,29.8,1159.5,50.5,Cotton
Vizianagaram,Rabi,Alluvial,48.8,34.3,40.9,7.5,0.98,26.2,177.4,64.7,Pearl Millet
Sri Satya Sai,Rabi,Alluvial,180.9,98.8,132.9,5.6,0.46,25.1,641.3,41.5,Chillies
Chittoor,Zaid,Red,80.3,49.7,62.5,7.3,0.61,26.7,883.3,65.0,Red Gram
